"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jun., 1999"	"1999/06"	"Delaware"	"10"	14	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"District of Columbia"	"11"	22	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Florida"	"12"	309	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Georgia"	"13"	128	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Hawaii"	"15"	18	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Idaho"	"16"	29	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Illinois"	"17"	217	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Indiana"	"18"	111	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Iowa"	"19"	45	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Kansas"	"20"	43	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Kentucky"	"21"	67	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Louisiana"	"22"	120	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Maine"	"23"	30	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Maryland"	"24"	96	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Massachusetts"	"25"	109	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Michigan"	"26"	215	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Minnesota"	"27"	76	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Mississippi"	"28"	43	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Missouri"	"29"	107	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Montana"	"30"	15	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Nebraska"	"31"	33	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Nevada"	"32"	29	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Hampshire"	"33"	27	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Jersey"	"34"	195	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Mexico"	"35"	41	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New York"	"36"	266	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"North Carolina"	"37"	143	Not Applicable	Not Applicable
